"SoundID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_new_touch_response","count_delay_1","count_delay_1_1","count_experiment","count_logger","count_new_OMMConditioner","count_new_OMMConditioner_1","count_new_loop","count_new_repeat_cycle","count_new_touch_response","count_sound","count_start_button","count_trial_sequence","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_new_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_new_touch_response","response_time","response_time_new_touch_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_delay_1","time_delay_1_1","time_experiment","time_logger","time_new_OMMConditioner","time_new_OMMConditioner_1","time_new_loop","time_new_repeat_cycle","time_new_touch_response","time_sound","time_start_button","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"146","0","0","2077","2077","black","no","legacy","legacy","legacy","0","relative","0","0","NA","0","0","0","NA","NA","0","0","0","0","0","0","undefined","309","-264","Tue Sep 14 18:09:36 2021","A basic match-to-sample task","yes","BackgroundTask6.osexp","C:/Users/pbeli/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/pbeli/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","4","4","2077","2077","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","1398","3512","NA","NA","1403","NA","1434","NA","1434","1433","OMM Match to sample","0","2077","1","yes","1024"
"104","0","0","1473","1473","black","no","legacy","legacy","legacy","0","relative","0","0","NA","1","0","1","NA","NA","0","1","1","1","1","1","undefined","379","291","Tue Sep 14 18:09:36 2021","A basic match-to-sample task","yes","BackgroundTask6.osexp","C:/Users/pbeli/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/pbeli/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","16","16","869","869","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","1398","4433","NA","NA","1403","NA","3563","NA","3562","3561","OMM Match to sample","0","2946","2","yes","1024"
"102","0","0","1327.3333333333333","1327.3333333333333","black","no","legacy","legacy","legacy","0","relative","0","0","NA","2","0","2","NA","NA","0","2","2","2","2","2","undefined","-379","-49","Tue Sep 14 18:09:36 2021","A basic match-to-sample task","yes","BackgroundTask6.osexp","C:/Users/pbeli/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/pbeli/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","5","5","1036","1036","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","1398","5506","NA","NA","1403","NA","4469","NA","4469","4468","OMM Match to sample","0","3982","3","yes","1024"
"124","0","0","1367.75","1367.75","black","no","legacy","legacy","legacy","0","relative","0","0","NA","3","0","3","NA","NA","0","3","3","3","3","3","undefined","-245","-204","Tue Sep 14 18:09:36 2021","A basic match-to-sample task","yes","BackgroundTask6.osexp","C:/Users/pbeli/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/pbeli/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","2","2","1489","1489","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","1398","7035","NA","NA","1403","NA","5546","NA","5546","5544","OMM Match to sample","0","5471","4","yes","1024"
"141","20","20","1427.6","1427.6","black","no","legacy","legacy","legacy","0","relative","1","1","NA","4","0","4","NA","NA","0","4","4","4","4","4","undefined","0","0","Tue Sep 14 18:09:36 2021","A basic match-to-sample task","yes","BackgroundTask6.osexp","C:/Users/pbeli/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/pbeli/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","11","11","1667","1667","2","legacy","1024","2","48000","-16","experiment","0","even","NA","8741","1398","10241","8739","8740","1403","NA","7071","8740","7071","7070","OMM Match to sample","1","7138","5","yes","1024"
"138","16.666666666666668","16.666666666666668","1385.8333333333333","1385.8333333333333","black","no","legacy","legacy","legacy","0","relative","0","0","NA","5","0","5","NA","NA","0","5","5","5","5","5","undefined","501","111","Tue Sep 14 18:09:36 2021","A basic match-to-sample task","yes","BackgroundTask6.osexp","C:/Users/pbeli/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/pbeli/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","12","12","1177","1177","2","legacy","1024","2","48000","-16","experiment","0","even","NA","8741","1398","11454","8739","8740","1403","NA","10276","8740","10276","10275","OMM Match to sample","1","8315","6","yes","1024"
"149","14.285714285714286","14.285714285714286","1439.7142857142858","1439.7142857142858","black","no","legacy","legacy","legacy","0","relative","0","0","NA","6","0","6","NA","NA","0","6","6","6","6","6","undefined","511","-258","Tue Sep 14 18:09:36 2021","A basic match-to-sample task","yes","BackgroundTask6.osexp","C:/Users/pbeli/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/pbeli/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","4","4","1763","1763","2","legacy","1024","2","48000","-16","experiment","0","even","NA","8741","1398","13254","8739","8740","1403","NA","11490","8740","11489","11488","OMM Match to sample","1","10078","7","yes","1024"
"124","12.5","12.5","1454.75","1454.75","black","no","legacy","legacy","legacy","0","relative","0","0","NA","7","0","7","NA","NA","0","7","7","7","7","7","undefined","-472","-115","Tue Sep 14 18:09:36 2021","A basic match-to-sample task","yes","BackgroundTask6.osexp","C:/Users/pbeli/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/pbeli/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","5","5","1560","1560","2","legacy","1024","2","48000","-16","experiment","0","even","NA","8741","1398","14851","8739","8740","1403","NA","13291","8740","13291","13290","OMM Match to sample","1","11638","8","yes","1024"
