job_id,position,study_id,status,participant,iteration,level,title,Module,Sound1,Sound2,timestamp,aborted_trial,trial_correct,Position_Target,participant_name,response_to_first,time_rewardfortouch,response_time_delay_1,response_time_delay_2
1308,24,13,pending,099550000003293902,1,1,OMMTask4_4,Module 2,Coo_12.wav,Avg16.wav,2023-08-16 08:28:10,0,1,2,RACAILLE,0,1903399149,1000,163
1299,15,13,pending,099550000003293902,1,1,OMMTask4_4,Module3,Avg16.wav,Coo_08.wav,2023-08-16 08:28:28,0,1,1,RACAILLE,1,NA,655,NA
1302,18,13,pending,099550000003293902,1,1,OMMTask4_4,Module 2,Coo_12_25.wav,Avg16.wav,2023-08-16 09:58:54,0,0,2,RACAILLE,1,NA,461,NA
1305,21,13,pending,099550000003293902,1,1,OMMTask4_4,Module 2,Avg16.wav,Coo_12_75.wav,2023-08-16 09:58:59,0,1,1,RACAILLE,1,NA,605,NA
1331,47,13,pending,099550000003293902,1,1,OMMTask4_4,Module1,Avg16.wav,Coo_15.wav,2023-08-16 09:59:05,0,1,1,RACAILLE,1,NA,480,NA
1329,45,13,pending,099550000003293902,1,1,OMMTask4_4,Module1,Avg16.wav,Coo_15_75.wav,2023-08-16 09:59:10,1,0,1,RACAILLE,0,NA,1001,1000
1329,45,13,pending,099550000003293902,2,1,OMMTask4_4,Module1,Avg16.wav,Coo_15_75.wav,2023-08-16 09:59:14,0,0,1,RACAILLE,0,NA,1000,289
1307,23,13,pending,099550000003293902,1,1,OMMTask4_4,Module1,Avg16.wav,Coo_12.wav,2023-08-16 09:59:19,0,1,1,RACAILLE,1,NA,675,NA
1341,57,13,pending,099550000003293902,1,1,OMMTask4_4,Module1,Avg16.wav,Coo_16_25.wav,2023-08-16 09:59:24,0,1,1,RACAILLE,1,NA,710,NA
1335,51,13,pending,099550000003293902,1,1,OMMTask4_4,Module3,Avg16.wav,Coo_16_50.wav,2023-08-16 10:00:16,0,1,1,RACAILLE,1,NA,474,NA
1290,6,13,pending,099550000003293902,1,1,OMMTask4_4,Module 2,Coo_08_75.wav,Avg16.wav,2023-08-16 10:00:22,0,1,2,RACAILLE,0,1908931266,1000,96
1328,44,13,pending,099550000003293902,1,1,OMMTask4_4,Module1,Coo_15_50.wav,Avg16.wav,2023-08-16 10:00:28,0,1,2,RACAILLE,0,8618042,1000,310
1298,14,13,pending,099550000003293902,1,1,OMMTask4_4,Module1,Coo_08_75.wav,Avg16.wav,2023-08-16 10:52:51,0,1,2,RACAILLE,0,11760972,1000,96
1310,26,13,pending,099550000003293902,1,1,OMMTask4_4,Module1,Coo_12_25.wav,Avg16.wav,2023-08-16 14:45:05,0,0,2,RACAILLE,1,NA,527,NA
1311,27,13,pending,099550000003293902,1,1,OMMTask4_4,Module1,Avg16.wav,Coo_12_50.wav,2023-08-16 14:45:10,0,1,1,RACAILLE,1,NA,573,NA
1347,63,13,pending,099550000003293902,1,1,OMMTask4_4,Module1,Avg16.wav,Coo_16.wav,2023-08-16 14:45:15,0,1,1,RACAILLE,1,NA,760,NA
1294,10,13,pending,099550000003293902,1,1,OMMTask4_4,Module1,Coo_08_25.wav,Avg16.wav,2023-08-16 14:45:21,0,1,2,RACAILLE,0,25710393,1000,378
1295,11,13,pending,099550000003293902,1,1,OMMTask4_4,Module 2,Avg16.wav,Coo_08_50.wav,2023-08-16 15:13:09,0,1,1,RACAILLE,1,NA,551,NA
1342,58,13,pending,099550000003293902,1,1,OMMTask4_4,Module 2,Coo_16_25.wav,Avg16.wav,2023-08-16 15:13:21,0,1,2,RACAILLE,0,1927710262,1000,357
1303,19,13,pending,099550000003293902,1,1,OMMTask4_4,Module 2,Avg16.wav,Coo_12_50.wav,2023-08-16 15:13:46,0,1,1,RACAILLE,1,NA,532,NA
1340,56,13,pending,099550000003293902,1,1,OMMTask4_4,Module1,Coo_16.wav,Avg16.wav,2023-08-16 15:14:13,0,1,2,RACAILLE,0,27442745,1000,214
1344,60,13,pending,099550000003293902,1,1,OMMTask4_4,Module1,Coo_16_50.wav,Avg16.wav,2023-08-16 16:30:32,0,1,2,RACAILLE,0,32021662,1000,180
1319,35,13,pending,099550000003293902,1,1,OMMTask4_4,Module1,Avg16.wav,Coo_15_50.wav,2023-08-16 16:30:37,0,1,1,RACAILLE,1,NA,602,NA
1326,42,13,pending,099550000003293902,1,1,OMMTask4_4,Module1,Coo_15_25.wav,Avg16.wav,2023-08-16 16:30:42,0,0,2,RACAILLE,1,NA,707,NA
1285,1,13,pending,099550000003293902,1,1,OMMTask4_4,Module1,Avg16.wav,Coo_08_25.wav,2023-08-16 16:30:46,0,1,1,RACAILLE,1,NA,709,NA
1318,34,13,pending,099550000003293902,1,1,OMMTask4_4,Module1,Coo_15_25.wav,Avg16.wav,2023-08-16 16:30:52,0,1,2,RACAILLE,0,32042122,1000,732
1316,32,13,pending,099550000003293902,1,1,OMMTask4_4,Module 2,Coo_12.wav,Avg16.wav,2023-08-16 16:30:59,0,1,2,RACAILLE,0,1932367997,1000,390
1304,20,13,pending,099550000003293902,1,1,OMMTask4_4,Module 2,Coo_12_50.wav,Avg16.wav,2023-08-16 16:31:05,0,1,2,RACAILLE,0,1932373460,1000,318
