job_id,position,study_id,status,participant,iteration,acc,bidi,start,title,width,Module,avg_rt,height,SoundID,correct,logfile,accuracy,cursor_x,cursor_y,datetime,response,font_bold,font_size,timestamp,background,cursor_roi,foreground,fullscreen,omm_job_id,sound_freq,subject_nr,time_sound,coordinates,count_sound,current_job,description,font_family,font_italic,form_clicks,log_backend,time_logger,compensation,count_logger,time_delay_1,clock_backend,color_backend,count_delay_1,mouse_backend,omm_job_count,omm_job_index,response_time,time_new_loop,total_correct,canvas_backend,count_new_loop,font_underline,round_decimals,sound_buf_size,sound_channels,subject_parity,time_delay_1_1,time_test_loop,count_delay_1_1,count_test_loop,experiment_path,sampler_backend,time_experiment,time_playsounds,total_responses,count_experiment,count_playsounds,keyboard_backend,time_request_job,count_request_job,sound_sample_size,time_start_button,count_start_button,opensesame_version,opensesame_codename,time_empty_sequence,time_rewardfortouch,time_trial_sequence,total_response_time,uniform_coordinates,count_empty_sequence,count_rewardfortouch,count_trial_sequence,time_rewarddetection,average_response_time,count_rewarddetection,time_get_session_data,time_new_repeat_cycle,count_get_session_data,count_new_repeat_cycle,time_new_inline_script,count_new_inline_script,time_make_task_infinite,time_new_touch_response,count_make_task_infinite,count_new_touch_response,time_new_inline_script_1,count_new_inline_script_1,correct_new_touch_response,disable_garbage_collection,response_new_touch_response,response_time_new_touch_response
199,49,4,finished,099550000003293892,1,0,no,experiment,OMM Background Task,1024,Module3,3000,768,148,0,C:\Users\covop\AppData\Local\Temp\omm.log,0,NA,NA,Fri Nov 19 10:53:10 2021,None,no,18,2021-11-19 09:53:17,black,undefined,white,no,199,48000,0,NA,relative,0,49,Simple touch then sound&reward - via server,mono,no,no,omm,172995430,0,0,NA,legacy,legacy,NA,legacy,50,49,3000,NA,0,legacy,NA,no,2,1024,2,even,NA,NA,0,0,C:\Users\pbeli\Documents\GitHub\OMM,legacy,172990427,NA,1,0,NA,legacy,172990427,0,-16,172990429,0,3.3.10,Lentiform Loewenfeld,NA,NA,172990427,3000,yes,NA,NA,0,172990429,3000,NA,172990427,NA,0,NA,NA,NA,NA,172992430,0,0,NA,NA,0,yes,None,3000
199,49,4,finished,099550000003293892,2,0,no,experiment,OMM Background Task,1024,Module3,3000,768,148,0,C:\Users\covop\AppData\Local\Temp\omm.log,0,NA,NA,Fri Nov 19 10:53:10 2021,None,no,18,2021-11-19 10:04:50,black,undefined,white,no,199,48000,0,NA,relative,0,49,Simple touch then sound&reward - via server,mono,no,no,omm,173689186,0,0,NA,legacy,legacy,NA,legacy,50,49,3000,NA,0,legacy,NA,no,2,1024,2,even,NA,NA,0,0,C:\Users\pbeli\Documents\GitHub\OMM,legacy,173684183,NA,1,0,NA,legacy,173684183,0,-16,173684184,0,3.3.10,Lentiform Loewenfeld,NA,NA,173684183,3000,yes,NA,NA,0,173684184,3000,NA,173684183,NA,0,NA,NA,NA,NA,173686186,0,0,NA,NA,0,yes,None,3000
199,49,4,finished,099550000003293892,3,0,no,experiment,OMM Background Task,1024,Module3,3000,768,148,0,C:\Users\covop\AppData\Local\Temp\omm.log,0,NA,NA,Fri Nov 19 10:53:10 2021,None,no,18,2021-11-19 10:14:34,black,undefined,white,no,199,48000,0,NA,relative,0,49,Simple touch then sound&reward - via server,mono,no,no,omm,608027783,0,0,NA,legacy,legacy,NA,legacy,50,49,3000,NA,0,legacy,NA,no,2,1024,2,even,NA,NA,0,0,C:\Users\pbeli\Documents\GitHub\OMM,legacy,608022781,NA,1,0,NA,legacy,608022781,0,-16,608022782,0,3.3.10,Lentiform Loewenfeld,NA,NA,608022781,3000,yes,NA,NA,0,608022782,3000,NA,608022781,NA,0,NA,NA,NA,NA,608024783,0,0,NA,NA,0,yes,None,3000
199,49,4,finished,099550000003293892,4,0,no,experiment,OMM Background Task,1024,Module3,3000,768,148,0,C:\Users\covop\AppData\Local\Temp\omm.log,0,NA,NA,Fri Nov 19 10:53:10 2021,None,no,18,2021-11-19 10:16:24,black,undefined,white,no,199,48000,0,NA,relative,0,49,Simple touch then sound&reward - via server,mono,no,no,omm,337177186,0,0,NA,legacy,legacy,NA,legacy,50,49,3000,NA,0,legacy,NA,no,2,1024,2,even,NA,NA,0,0,C:\Users\pbeli\Documents\GitHub\OMM,legacy,337172183,NA,1,0,NA,legacy,337172183,0,-16,337172185,0,3.3.10,Lentiform Loewenfeld,NA,NA,337172183,3000,yes,NA,NA,0,337172185,3000,NA,337172183,NA,0,NA,NA,NA,NA,337174186,0,0,NA,NA,0,yes,None,3000
199,49,4,finished,099550000003293903,1,0,no,experiment,OMM Background Task,1024,Module3,901,768,148,0,C:\Users\covop\AppData\Local\Temp\omm.log,0,-239,358,Thu Nov 18 11:49:22 2021,14,no,18,2021-11-18 10:49:26,black,undefined,white,no,199,48000,0,NA,relative,0,49,Simple touch then sound&reward - via server,mono,no,no,omm,89964064,0,0,NA,legacy,legacy,NA,legacy,50,49,901,NA,0,legacy,NA,no,2,1024,2,even,NA,NA,0,0,C:\Users\pbeli\Documents\GitHub\OMM,legacy,89961160,NA,1,0,NA,legacy,89961160,0,-16,89961162,0,3.3.10,Lentiform Loewenfeld,NA,NA,89961160,901,yes,NA,NA,0,89961162,901,NA,89961160,NA,0,NA,NA,NA,NA,89963162,0,0,NA,NA,0,yes,14,901
199,49,4,finished,099550000003293903,2,0,no,experiment,OMM Background Task,1024,Module3,3000,768,148,0,C:\Users\covop\AppData\Local\Temp\omm.log,0,NA,NA,Thu Nov 18 11:49:22 2021,None,no,18,2021-11-18 10:56:24,black,undefined,white,no,199,48000,0,NA,relative,0,49,Simple touch then sound&reward - via server,mono,no,no,omm,90382012,0,0,NA,legacy,legacy,NA,legacy,50,49,3000,NA,0,legacy,NA,no,2,1024,2,even,NA,NA,0,0,C:\Users\pbeli\Documents\GitHub\OMM,legacy,90377010,NA,1,0,NA,legacy,90377011,0,-16,90377012,0,3.3.10,Lentiform Loewenfeld,NA,NA,90377011,3000,yes,NA,NA,0,90377012,3000,NA,90377011,NA,0,NA,NA,NA,NA,90379012,0,0,NA,NA,0,yes,None,3000
199,49,4,finished,099550000003293903,3,0,no,experiment,OMM Background Task,1024,Module3,3000,768,148,0,C:\Users\covop\AppData\Local\Temp\omm.log,0,NA,NA,Thu Nov 18 11:49:22 2021,None,no,18,2021-11-18 12:30:56,black,undefined,white,no,199,48000,0,NA,relative,0,49,Simple touch then sound&reward - via server,mono,no,no,omm,96054653,0,0,NA,legacy,legacy,NA,legacy,50,49,3000,NA,0,legacy,NA,no,2,1024,2,even,NA,NA,0,0,C:\Users\pbeli\Documents\GitHub\OMM,legacy,96049650,NA,1,0,NA,legacy,96049650,0,-16,96049652,0,3.3.10,Lentiform Loewenfeld,NA,NA,96049650,3000,yes,NA,NA,0,96049652,3000,NA,96049650,NA,0,NA,NA,NA,NA,96051653,0,0,NA,NA,0,yes,None,3000
199,49,4,finished,099550000003293903,4,0,no,experiment,OMM Background Task,1024,Module3,3000,768,148,0,C:\Users\covop\AppData\Local\Temp\omm.log,0,NA,NA,Thu Nov 18 11:49:22 2021,None,no,18,2021-11-18 12:33:38,black,undefined,white,no,199,48000,0,NA,relative,0,49,Simple touch then sound&reward - via server,mono,no,no,omm,96215971,0,0,NA,legacy,legacy,NA,legacy,50,49,3000,NA,0,legacy,NA,no,2,1024,2,even,NA,NA,0,0,C:\Users\pbeli\Documents\GitHub\OMM,legacy,96210969,NA,1,0,NA,legacy,96210969,0,-16,96210970,0,3.3.10,Lentiform Loewenfeld,NA,NA,96210969,3000,yes,NA,NA,0,96210970,3000,NA,96210969,NA,0,NA,NA,NA,NA,96212971,0,0,NA,NA,0,yes,None,3000
199,49,4,finished,099550000003293903,5,0,no,experiment,OMM Background Task,1024,Module3,1725,768,148,0,C:\Users\covop\AppData\Local\Temp\omm.log,0,167,294,Thu Nov 18 11:49:22 2021,15,no,18,2021-11-18 12:41:04,black,undefined,white,no,199,48000,0,NA,relative,0,49,Simple touch then sound&reward - via server,mono,no,no,omm,96662742,0,0,NA,legacy,legacy,NA,legacy,50,49,1725,NA,0,legacy,NA,no,2,1024,2,even,NA,NA,0,0,C:\Users\pbeli\Documents\GitHub\OMM,legacy,96659013,NA,1,0,NA,legacy,96659013,0,-16,96659015,0,3.3.10,Lentiform Loewenfeld,NA,NA,96659014,1725,yes,NA,NA,0,96659015,1725,NA,96659013,NA,0,NA,NA,NA,NA,96661016,0,0,NA,NA,0,yes,15,1725
200,50,4,finished,099550000003293903,1,0,no,experiment,OMM Background Task,1024,Module3,353,768,149,0,C:\Users\covop\AppData\Local\Temp\omm.log,0,-191,281,Thu Nov 18 11:50:00 2021,14,no,18,2021-11-18 10:50:03,black,undefined,white,no,200,48000,0,NA,relative,0,50,Simple touch then sound&reward - via server,mono,no,no,omm,90001404,0,0,NA,legacy,legacy,NA,legacy,50,50,353,NA,0,legacy,NA,no,2,1024,2,even,NA,NA,0,0,C:\Users\pbeli\Documents\GitHub\OMM,legacy,89999047,NA,1,0,NA,legacy,89999047,0,-16,89999049,0,3.3.10,Lentiform Loewenfeld,NA,NA,89999047,353,yes,NA,NA,0,89999049,353,NA,89999047,NA,0,NA,NA,NA,NA,90001050,0,0,NA,NA,0,yes,14,353
200,50,4,finished,099550000003293903,2,0,no,experiment,OMM Background Task,1024,Module3,2652,768,149,0,C:\Users\covop\AppData\Local\Temp\omm.log,0,115,316,Thu Nov 18 11:50:00 2021,15,no,18,2021-11-18 10:57:48,black,undefined,white,no,200,48000,0,NA,relative,0,50,Simple touch then sound&reward - via server,mono,no,no,omm,90465973,0,0,NA,legacy,legacy,NA,legacy,50,50,2652,NA,0,legacy,NA,no,2,1024,2,even,NA,NA,0,0,C:\Users\pbeli\Documents\GitHub\OMM,legacy,90461316,NA,1,0,NA,legacy,90461316,0,-16,90461318,0,3.3.10,Lentiform Loewenfeld,NA,NA,90461317,2652,yes,NA,NA,0,90461318,2652,NA,90461316,NA,0,NA,NA,NA,NA,90463319,0,0,NA,NA,0,yes,15,2652
200,50,4,finished,099550000003293903,3,0,no,experiment,OMM Background Task,1024,Module3,3001,768,149,0,C:\Users\covop\AppData\Local\Temp\omm.log,0,NA,NA,Thu Nov 18 11:50:00 2021,None,no,18,2021-11-18 12:10:30,black,undefined,white,no,200,48000,0,NA,relative,0,50,Simple touch then sound&reward - via server,mono,no,no,omm,94828136,0,0,NA,legacy,legacy,NA,legacy,50,50,3001,NA,0,legacy,NA,no,2,1024,2,even,NA,NA,0,0,C:\Users\pbeli\Documents\GitHub\OMM,legacy,94823132,NA,1,0,NA,legacy,94823132,0,-16,94823134,0,3.3.10,Lentiform Loewenfeld,NA,NA,94823132,3001,yes,NA,NA,0,94823134,3001,NA,94823132,NA,0,NA,NA,NA,NA,94825135,0,0,NA,NA,0,yes,None,3001
200,50,4,finished,099550000003293903,4,0,no,experiment,OMM Background Task,1024,Module3,3000,768,149,0,C:\Users\covop\AppData\Local\Temp\omm.log,0,NA,NA,Thu Nov 18 11:50:00 2021,None,no,18,2021-11-18 12:34:22,black,undefined,white,no,200,48000,0,NA,relative,0,50,Simple touch then sound&reward - via server,mono,no,no,omm,96260176,0,0,NA,legacy,legacy,NA,legacy,50,50,3000,NA,0,legacy,NA,no,2,1024,2,even,NA,NA,0,0,C:\Users\pbeli\Documents\GitHub\OMM,legacy,96255173,NA,1,0,NA,legacy,96255174,0,-16,96255175,0,3.3.10,Lentiform Loewenfeld,NA,NA,96255174,3000,yes,NA,NA,0,96255175,3000,NA,96255174,NA,0,NA,NA,NA,NA,96257176,0,0,NA,NA,0,yes,None,3000
200,50,4,finished,099550000003293903,5,0,no,experiment,OMM Background Task,1024,Module3,3000,768,149,0,C:\Users\covop\AppData\Local\Temp\omm.log,0,NA,NA,Thu Nov 18 11:50:00 2021,None,no,18,2021-11-18 12:35:39,black,undefined,white,no,200,48000,0,NA,relative,0,50,Simple touch then sound&reward - via server,mono,no,no,omm,96337508,0,0,NA,legacy,legacy,NA,legacy,50,50,3000,NA,0,legacy,NA,no,2,1024,2,even,NA,NA,0,0,C:\Users\pbeli\Documents\GitHub\OMM,legacy,96332504,NA,1,0,NA,legacy,96332504,0,-16,96332506,0,3.3.10,Lentiform Loewenfeld,NA,NA,96332504,3000,yes,NA,NA,0,96332506,3000,NA,96332504,NA,0,NA,NA,NA,NA,96334508,0,0,NA,NA,0,yes,None,3000
200,50,4,finished,099550000003293903,6,0,no,experiment,OMM Background Task,1024,Module3,353,768,149,0,C:\Users\covop\AppData\Local\Temp\omm.log,0,181,209,Thu Nov 18 11:50:00 2021,15,no,18,2021-11-18 12:36:20,black,undefined,white,no,200,48000,0,NA,relative,0,50,Simple touch then sound&reward - via server,mono,no,no,omm,96378050,0,0,NA,legacy,legacy,NA,legacy,50,50,353,NA,0,legacy,NA,no,2,1024,2,even,NA,NA,0,0,C:\Users\pbeli\Documents\GitHub\OMM,legacy,96375694,NA,1,0,NA,legacy,96375694,0,-16,96375695,0,3.3.10,Lentiform Loewenfeld,NA,NA,96375694,353,yes,NA,NA,0,96375695,353,NA,96375694,NA,0,NA,NA,NA,NA,96377696,0,0,NA,NA,0,yes,15,353
